Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Indira Gandhi Government Medical College Complex,Social and Commercial Infrastructure,Health Care,Maharashtra,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),Setting up a Medical College Complex with 300 beds at Nagpur,Not Available,State,Not Available,06-Nov-2015,Nagpur Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,275.00,Not Available,275.00,Not Available
Useful Conversion of Solid Waste in Udaipur,Water Sanitation,Solid waste management,Rajasthan,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved implementation of 150 tpd municipal solid waste processing at Udaipur in Rajasthan,150.0 TPD (Tonne per day),State,360,09-Nov-2015,Udaipur Municipal Corporation,Getax Australia,Tariff or User charge,Not Available,Not Available,Not Available,Not Available,31-Dec-2011,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,70.00,Not Available,Not Available,Not Available
Transmission Line (RAPP 7&8 - Shujalpur) Project,Energy,Electricity transmission,Multi State/ Centre,Operation and Maintenance Stage,Not Available,The transmission systems will evacuate and transmit power through a network of about 200 km long 400 kV double circuit line from RAPP U-7&8 near Kota in Rajasthan to Shujalpur in Madhya Pradesh.,200.0 CKM (Circuit Kilo Meter),Centre,300,05-Jan-2016,Power Finance Corporation Limited,RAPP Transmission Company Limited,Tariff or User charge,12-Mar-2014,Not Available,Not Available,28-Feb-2016,02-Jan-2016,28-Feb-2016,02-Jan-2016,13-Mar-2039,Not Applicable,Not Available,,0.00,310.00,Not Available,310.00,Not Available
Bhiwandi-Kalyan-Shil Phata Highway Project,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved four laning  & improvement, O&M and Toll Collection of the Bhiwandi-Kalyan-Shil Phata Highway. The highway is one of the major links connecting the Mumbai Pune Highway (NH 4) at Shil Phata and the Mumbai-Nashik Highway (NH 3) at Bhiwandi.",21.6 KM (Kilometer),State,72,26-Feb-2016,Maharashtra State Road Development Corporation Limited (MSRDC),Plus BKSP Toll Limited,Not Available,01-Sep-2006,Not Available,Not Available,01-Mar-2008,13-Aug-2009,01-Mar-2008,22-Aug-2009,28-Apr-2013,Not Applicable,Not Available,,0.00,228.00,Not Available,228.00,Not Available
Bridge across river Godavari between Yanam - Edurlanka,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),To construct a bridge across river Godavari between Yanam - Edurlanka,1.8 KM (Kilometer),State,180,17-May-2016,Andhra Pradesh Road Development Corporation,M/s Navayuga Engineering Company Ltd.,Concession Duration,06-Oct-1999,Not Available,Not Available,06-Aug-2002,05-Oct-2002,06-Aug-2002,05-Oct-2002,05-Oct-2014,Not Applicable,Not Available,,0.00,110.00,Not Available,Not Available,Not Available
Aurangabad City Integrated Roads,Transport,Roads and bridges,Maharashtra,Under Construction,Build-Operate-Transfer (BOT),"The  project involves 30 works-construction of flyovers, Railway Over Bridge, subways, road beloning to Aurangabad Municipal Corpn and Roads included in Nagpur-Mumbai Project.",Not Available,State,Not Available,18-May-2016,Maharashtra State Road Development Corporation Limited (MSRDC),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,167.80,Not Available,Not Applicable,Not Available
Integrated Disposal Facility (Mysore),Water Sanitation,"Sewage collection, treatment and disposal system",Karnataka,Operation and Maintenance Stage,Not Available,Development of Integrated Disposal Facility in Mysore,Not Available,State,Not Available,18-May-2016,Mysuru City Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,Not Available,Not Available,27.83,Not Available
Integrated Road Development Project (Baramati),Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The Project consists of 3 Packages includes widening and strengthening of roads, construction of new roads, cross drainage works, improvement and beautification of major junctions, construction of bridges, plantation etc.",21.06 KM (Kilometer),State,Not Available,18-May-2016,Maharashtra State Road Development Corporation Limited (MSRDC),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,33.57,Not Available,Not Available,Not Available
Multi Utility Infrastructure Project at Dagapur,Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",West Bengal,Operation and Maintenance Stage,Not Available,"Multi Utility Infrastructure Project at Dagapur [3 acre land, 402325 sq.ft. of Commercial area and parking space]",Not Available,State,Not Available,18-May-2016,Siliguri Jalpaiguri Development Authority,Bengal Peerless Housing Development Co. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,50.00,Not Available,Not Available,Not Available
Municipal Solid Waste Management (Ferozepur) Project,Water Sanitation,Solid waste management,Punjab,Operation and Maintenance Stage,Not Available,The project involves development of integrated municipal solid waste management for Ferozepur Cluster in Punjab under public private partnership (PPP),300.0 TPD (Tonne per day),State,Not Available,18-May-2016,"Municipal Council, Ferozepur",JITF Urban Waste Management (Ferozepur) Ltd.,Others,Not Available,Not Available,Not Available,31-Mar-2014,31-Mar-2014,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,36.15,Not Available,Not Available,Not Available
Nagpur Energy Audit Projects for Water Supply (NAG-008),Water Sanitation,Water supply pipeline,Maharashtra,Operation and Maintenance Stage,Not Available,Nagpur Energy Audit Projects for Water Supply,Not Available,State,Not Available,18-May-2016,Nagpur Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,Not Available,Not Available,25.04,Not Available
Nagpur Kanhan Water Supply Scheme-Augmentaion,Water Sanitation,Water supply pipeline,Maharashtra,Operation and Maintenance Stage,Not Available,Nagpur Kanhan Augmentation Scheme,Not Available,State,Not Available,18-May-2016,Nagpur Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,Not Available,Not Available,82.17,Not Available
Ranchi Ring Road Project - Section VII,Transport,Roads and bridges,Jharkhand,Under Construction,Build-Operate-Transfer (BOT) Annuity,The project involves six-laning of Ranchi Ring Road (Section- VII) with paved/hard shoulder configuration from Kathitanr (on NH-75) to Karma (on NH-33).,23.0 KM (Kilometer),State,210,18-May-2016,"Road Construction Department, Jharkhand",Jharkhand Infrastructure Implementation Company Limited,Not Available,07-Aug-2015,Not Available,Not Available,31-Jan-2018,Not Applicable,31-Jan-2018,Not Applicable,06-Aug-2032,Not Applicable,Not Available,,0.00,587.60,Not Available,Not Applicable,Not Available
Road Upgradation (Dehgaon-Bamori) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Dehgaon-Bamori road.,27.5 KM (Kilometer),State,Not Available,18-May-2016,Madhya Pradesh Road Development Corporation Limited (MPRDC),Totem Infrastructure Limited,Not Available,31-Aug-2012,Not Available,31-Mar-2013,30-Apr-2014,30-Apr-2014,30-Apr-2014,30-Apr-2014,Not Available,Not Applicable,Not Available,,0.00,36.02,Not Available,36.02,Not Available
Beautification & Development of Tonk road from Ajmeri Gate to Sanganer Flyover,Social and Commercial Infrastructure,Tourism,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Beautification & Development of Tonk road from Ajmeri Gate to Sanganer Flyover,Not Available,State,180,21-Jun-2016,Jaipur Development Authority,NS Publicity Agencies,Not Available,19-Oct-2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,6.00,Not Available,Not Available,Not Available
Recreation Park & Swimming Pool (Raipur) Project,Social and Commercial Infrastructure,Tourism,Chhattisgarh,Operation and Maintenance Stage,Not Available,The project involved development of recreation park and swimming pool connected with Raipur Durg Ring Road (NH-6) in Raipur district.,19.0 Acres,State,360,21-Jun-2016,Raipur Development Authority,Panchamrit Entertainment Private Limited,Not Available,17-Sep-2010,Not Available,31-Oct-2011,31-Mar-2014,31-Oct-2014,31-Mar-2014,31-Oct-2014,16-Sep-2040,Not Applicable,Not Available,,0.00,25.00,Not Available,25.00,Not Available
Sardar Patel Ring Road Project,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved four-laning of Sardar Patel Ring Road in Ahmedabad district,  implemented in three phases :- Phase I - includes two laning of the entire stretch and four laning of major structures, Phase II - includes extension of existing two lanes to four lanes and Phase III - includes extension of ring road.",76.3 KM (Kilometer),State,240,04-Jul-2016,Ahmedabad Urban Development Authority,Sadbhav Engineering Limited,Not Available,07-Sep-2006,28-Dec-2006,Not Available,28-Feb-2008,13-Mar-2009,28-Feb-2008,13-Mar-2009,06-Sep-2026,Not Applicable,Not Available,,0.00,560.00,Not Available,560.00,Not Available
Road Upgradation (Khamgaon Bypass) Project,Transport,Roads and bridges,Maharashtra,Completed,Build-Operate-Transfer (BOT),The project involved expanding 9.00 km long Khamgaon bypass by four laning of road in Buldhana district.,9.7 KM (Kilometer),State,84,11-Jul-2016,"Public Works Department, Maharashtra","Eagle Construction Company (JV), Ulhasnagar",Concession Duration,26-Aug-2008,05-Sep-2008,Not Available,04-Mar-2010,12-Feb-2010,04-Mar-2010,02-Mar-2010,04-Oct-2015,04-Oct-2015,Not Available,,0.00,54.03,Not Available,54.03,Not Available
International Animation School Project,Social and Commercial Infrastructure,Education,Kerala,Operation and Maintenance Stage,Lease,"The project involved construction of International Animation School at KINFRA Film & Video Park. The building is having an area of about 96000 sft, in three floors, and is matching to the requirements of International Animation School as per the studies conducted by Ernst & Young is already completed. International Animation School was constructed in 2.8 acres of land. 0.70 acres of land is being identified for future development of International Animation School.",2.8 Acres,State,360,08-Aug-2016,Kerala Industrial Infrastructure Development Corporation Limited,Srishti School Of Art Design & Technology,Lease Rent,Not Available,Not Available,10-Sep-2009,09-Dec-2010,31-Aug-2011,09-Dec-2010,31-Aug-2011,Not Available,Not Applicable,Not Available,Construction Grant,6.86,14.05,Not Available,18.00,Not Available
Road Upgradation (Sion-Panvel) Project,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved improvement of Sion-Panvel Special State Highway from BARC to Kalamboli junction.,24.89 KM (Kilometer),State,209,14-Sep-2016,"Public Works Department, Maharashtra",Sion Panvel Tollways Private Limited,Concession Duration,19-Jan-2011,30-May-2011,30-May-2011,30-May-2013,03-Jan-2015,30-May-2013,06-Jan-2015,18-Jun-2028,Not Applicable,Not Available,,0.00,"1,220.00",Not Available,"1,220.00",Not Available
R-O-B (Nagpur-Katol-Jalakheda) Project,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of road over bridge from 54.80 km to 60.40 km Nagpur-Katol-Jalakheda in Nagpur district.,5.6 KM (Kilometer),State,311,15-Sep-2016,Maharashtra State Road Development Corporation Limited (MSRDC),Rohan Rajdeep Katol Bypass Infrastructure Limited,Concession Duration,15-Jul-2010,24-Nov-2010,29-Nov-2010,29-May-2011,30-Apr-2013,30-May-2011,30-Apr-2013,14-Jun-2036,Not Applicable,Not Available,,0.00,37.04,Not Available,46.42,Not Available
Road Upgradation (Pedda-Amberpet-Bongulur) Project - AP-3,Transport,Roads and bridges,Telangana,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"The project involved upgradation of Pedda-Amberpet-Bongulur road from 95.00 km to 108.00 km under Outer Ring Road Project (Phase-II, Package-A).",13.0 KM (Kilometer),State,180,03-Oct-2016,Hyderabad Growth Corridor Limited,Hyderabad Expressway Limited,Not Available,03-Aug-2007,Not Available,10-Dec-2007,09-Jun-2010,16-Aug-2012,09-Jun-2010,16-Aug-2012,02-Aug-2022,Not Applicable,Not Available,,0.00,388.25,Not Available,388.25,Not Available
Road Upgradation (Tukkuguda-Shamshabad) Project - AP-5,Transport,Roads and bridges,Telangana,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"The project involved upgradation of Tukkuguda-Shamshabad road from 121.00 km to  133.60 km under Outer Ring Road Project (Phase-II, Package-A).",12.6 KM (Kilometer),State,180,03-Oct-2016,Hyderabad Growth Corridor Limited,Ramky Elsamex Hyderabad Ring Road Limited,Not Available,27-Nov-2007,Not Available,Not Available,30-Nov-2009,16-Aug-2012,30-Nov-2009,16-Aug-2012,26-Nov-2022,Not Applicable,Not Available,,0.00,332.51,Not Available,332.51,Not Available
Municipal Solid Waste Management (Turbhe) Project,Water Sanitation,Solid waste management,Maharashtra,Operation and Maintenance Stage,Design-Build-Finance-Operate (DBFO),The project involved setting up a municipal solid waste management plant at Turbhe in Thane district under JNNURM scheme.,500.0 TPD (Tonne per day),State,360,26-Oct-2016,Navi Mumbai Municipal Corporation,Navi Mumbai Waste Processing Company Limited,Revenue Share,01-Aug-2010,Not Available,01-Sep-2010,31-Aug-2012,31-Aug-2012,01-Sep-2012,01-Sep-2012,30-Jul-2040,Not Applicable,Not Available,,0.00,19.00,Not Available,19.00,Not Available
Solar Photovoltaic Power (Baramati) Project,Energy,Renewable energy (grid),Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved setting up of 36 MW + 14 MW solar photovoltaic power project at Shirsuphal, Baramati. Grid connected Solar PV power project (Poly Crystalline Technology)",50.0 MW (Mega Watt),State,300,26-Oct-2016,Maharashtra State Power Generation Company Limited,Clean Sustainable Solar Energy Private Limited,Revenue Share,16-Jun-2014,10-Oct-2014,24-Nov-2014,31-Mar-2015,31-Mar-2015,31-Mar-2015,31-Mar-2015,15-Jun-2039,Not Applicable,18-Dec-2039,,0.00,373.93,Not Available,373.93,Not Available
Development of Marine Liquid Terminal,Transport,Ports (excluding captive),Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"To handle LPG, POL, Chemicals and other liquids",3.0 MMTPA (million metric tonnes per annum),Centre,360,31-Oct-2016,Kamarajar Port Limited,Ennore Tank Terminal Private Limited,Revenue Share,10-Nov-2004,09-Nov-2005,09-Jun-2006,08-Jun-2008,16-Mar-2009,08-Jun-2008,16-Mar-2009,09-Nov-2034,Not Applicable,Not Available,,0.00,500.00,416.43,417.00,Not Available
Road Upgradation (Adityapur-Kandra) Project,Transport,Roads and bridges,Jharkhand,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved four laning of road from Adityapur to Kandra road in length of 15 Km .,15.0 KM (Kilometer),State,180,31-Oct-2016,"Road Construction Department, Jharkhand",Jharkhand Road Projects Implementation Company Limited,Annuity,06-Aug-2011,Not Available,02-Feb-2012,01-Nov-2012,31-Jan-2013,01-Nov-2012,31-Jan-2013,05-Aug-2026,Not Applicable,31-Jan-2028,,0.00,241.15,Not Available,Not Available,Not Available
Road Upgradation (Pulivendula-Alavalapadu-Vempalli) Project,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"Up-gradation of Road to Two lane standards and up gradation of bridges.  Design, Construction for improvement & upgrading to two lane carriageway of Pulivendula - Alavalapadu - Vempalli Road",1.0 KM (Kilometer),State,120,31-Oct-2016,Andhra Pradesh Road Development Corporation,SRK Infracon (India) Private Limited,Annuity,19-Feb-2009,Not Available,Not Available,22-Sep-2010,17-Jun-2010,22-Sep-2010,17-Jun-2010,18-Feb-2019,Not Applicable,Not Available,,0.00,24.50,Not Available,Not Available,Not Available
Two laning of Nadiad-Madhudha-Kathlal-Kapadwanj-Bayad-Modasa section in length of 108.4 km in Kheda district,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Annuity,The project involved two laning with paved shoulder of Nadiad-Madhudha-Kathlal-Kapadwanj-Bayad-Modasa section in Kheda district.,108.4 KM (Kilometer),State,168,07-Nov-2016,"Public Works Department, Gujarat",DBL Nadiad Modasa Tollways Limited,Not Available,03-Jul-2012,Not Available,Not Available,Not Available,31-Dec-2013,Not Available,31-Dec-2013,02-Jul-2026,Not Applicable,Not Available,,0.00,238.90,Not Available,238.90,Not Available
Dewas Industrial Water Supply Scheme,Water Sanitation,Water supply pipeline,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved provide water supply scheme with a capacity of 23 million litres per day (5 MGD). It involves laying down of 128 km pipeline from Nemavar on the banks of River Narmada to the Dewas Industrial Estate.,128.0 KM (Kilometer),State,360,21-Nov-2016,Madhya Pradesh State Industrial Development Corporation Limited,Welspun Enterprises Limited,Tariff or User charge,16-Jun-2005,08-Feb-2006,01-Apr-2006,01-Jun-2007,30-Sep-2008,01-Jun-2007,31-Oct-2008,15-Jun-2035,Not Applicable,Not Available,,0.00,77.58,Not Available,77.58,Not Available
O&M and Management of 25 MGD Water Treatment Plant,Water Sanitation,Water treatment plants,West Bengal,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Operation and Maintenance of existing plant with capacity 25 MGD and a new 25 MGD water treatment plant. (114 cubic metres per day (thousands)),25.0 MGD (Million Gallon per Day),State,300,21-Nov-2016,Haldia Development Authority,Consortium of JUSCO and Ranhill^^Share holding 60:40,Highest premium,18-Jul-2008,04-Sep-2009,Not Available,18-Jul-2010,31-Jul-2010,18-Jul-2010,31-Jul-2010,17-Jul-2033,Not Applicable,Not Available,,0.00,45.00,Not Available,Not Available,Not Available
Construction of two lane Katni bypass in length of 17.6 km,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of two lane Katni bypass on NH-7 in Madhya Pradesh.,17.6 KM (Kilometer),State,144,05-Dec-2016,"Public Works Department, Madhya Pradesh",Ashoka-DSC Katni Bypass Road Limited,Not Available,19-Aug-2002,Not Available,Not Available,30-Dec-2004,28-Feb-2008,30-Dec-2004,28-Feb-2008,18-Aug-2014,Not Applicable,21-Feb-2020,,0.00,71.00,Not Available,71.00,Not Available
Setting up of 4.5 MW Iruttukkanam small hydel power unit in Idukki district,Energy,Renewable energy (grid),Kerala,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),The project involved setting up of small hydel based power unit on Kallar river in Idukki district.,4.5 MW (Mega Watt),State,360,05-Dec-2016,Kerala State Electricity Board,Viyyat Power Private Limited,Not Available,10-Dec-2004,Not Available,Not Available,Not Available,18-Sep-2010,Not Available,18-Sep-2010,09-Dec-2034,Not Applicable,Not Available,,0.00,22.00,Not Available,22.00,Not Available
Setting up of 7 MW Ullunkal small hydel power unit in Pathanamthitta district,Energy,Renewable energy (grid),Kerala,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),The project involved setting up of small hydel based power unit in the Pamba basin in Pathanamthitta district.,7.0 MW (Mega Watt),State,360,05-Dec-2016,Kerala State Electricity Board,EDCL Power Projects Limited,Not Available,19-Jun-2008,Not Available,Not Available,Not Available,13-Nov-2008,Not Available,13-Nov-2008,18-Jun-2038,Not Applicable,Not Available,,0.00,49.00,Not Available,49.00,Not Available
Four laning of Aurangabad-Jalna road in length of 65.0 Km in Maharashtra,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four laning of Aurangabad-Jalna road (MSH-6).,65.0 KM (Kilometer),State,282,06-Dec-2016,"Public Works Department, Maharashtra",Aurangabad Jalna Tollway Limited,Not Available,01-Feb-2007,Not Available,Not Available,30-Jul-2009,28-Jul-2009,30-Jul-2009,28-Jul-2009,30-Jul-2030,Not Applicable,Not Available,,0.00,190.00,Not Available,274.40,Not Available
Implementation of Nagziri Irrigation scheme with a capacity of 1.8 CBM,Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Maharashtra,Operation and Maintenance Stage,Management Contract (O&M),The project involved implementation of Nagziri irrigation scheme in Jalgaon district.,1.8 CBM (Million Cubic Meter),State,360,18-Dec-2016,"Tapi Irrigation Development Corporation, Jalgaon",Jain Irrigation Systems Limited,Not Available,06-Aug-2010,Not Available,Not Available,Not Available,16-Sep-2013,Not Available,16-Sep-2013,05-Aug-2040,Not Applicable,Not Available,,0.00,1.88,7.56,9.50,Not Available
Implementation of solid waste management unit in Fatehpur district,Water Sanitation,Solid waste management,Uttar Pradesh,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),The project involved implementation of solid waste management unit in Fatehpur district. The scope of work includes door to door collection processing disposal.,55.0 TPD (Tonne per day),State,360,18-Dec-2016,Uttar Pradesh Jal Nigam,A2Z Green Waste Management Limited,Tariff or User charge,18-Jan-2011,Not Available,Not Available,Not Available,31-Jul-2013,Not Available,31-Jul-2013,Not Available,Not Applicable,17-Jan-2041,Construction Grant,9.38,14.29,Not Available,14.29,Not Available
